Manchester Metrolink,Public Transportation Systems,0.0
Manchester Cathedral,Architectural Buildings,2.802
Manchester Arena,Arenas & Stadiums,2.4
Manchester Town Hall,Architectural Buildings,1.0
Breakout Manchester,Escape Games,1.0
"The Crystal Maze LIVE Experience, Manchester",Game & Entertainment Centers,0.1
Manchester Art Gallery,Art Galleries,3.6
The John Rylands Library,Libraries,1.0
Manchester Central Library,Libraries,4.6
The Manchester Museum,Speciality Museums,0.9
Science and Industry Museum,Children's Museums,0.9
"Legoland Discovery Centre, Manchester",Amusement & Theme Parks,0.5
National Football Museum,Speciality Museums,0.5
Gay Village,Neighborhoods,0.0
Etihad Stadium,Arenas & Stadiums,3.8
Virtual Hideout Manchester,Game & Entertainment Centers,0.0
Aspire Lounge - Manchester Airport Terminal 1,Airport Lounges,1.5
Chinatown,Neighborhoods,1.5
Manchester Arndale,Shopping Malls,3.9
Virgin Trains,Public Transportation Systems,0.0
Manchester Taxi Tours,Taxis & Shuttles,0.0
Escape Hunt Manchester,Escape Games,0.0
Old Trafford,Arenas & Stadiums,0.0
Lucardo,Escape Games,0.0
Sea Life Manchester,Aquariums,2.1
People's History Museum,Children's Museums,0.0
Millyard Museum,History Museums,0.0
Piccadilly Gardens,Gardens,0.0
